KPN_RS01630	GO:0015658,GO:0140359,GO:0016020,GO:0043190
KPN_RS01645	GO:0006520,GO:0008851
KPN_RS01655	GO:0006865,GO:0015171,GO:0016020
KPN_RS01665	GO:0055085
KPN_RS01670	GO:0009086,GO:0047150
KPN_RS01675	GO:0055085,GO:0015411,GO:0042597,GO:0043190
KPN_RS01680	GO:0005524,GO:0015411,GO:0016020
KPN_RS01685	GO:0055085,GO:0015411,GO:0016020
KPN_RS01690	GO:0016491
KPN_RS01700	GO:0033014,GO:0004655
KPN_RS01715	GO:0015833,GO:1904680
KPN_RS01735	GO:0008716
KPN_RS01755	GO:0016791
KPN_RS01765	GO:0006561,GO:0004735
KPN_RS01780	GO:0009073,GO:0004765
KPN_RS01800	GO:0006310
KPN_RS01810	GO:0006260,GO:0004527
KPN_RS01815	GO:0006260,GO:0006310,GO:0004527
KPN_RS01825	GO:0000160,GO:0006355,GO:0016310,GO:0000155,GO:0004721,GO:0016020
KPN_RS01835	GO:0006865,GO:0055085,GO:0016020
KPN_RS01840	GO:0005975,GO:0004558
KPN_RS01850	GO:0016787
KPN_RS01860	GO:0016810
KPN_RS01865	GO:0006096,GO:0004332
KPN_RS01880	GO:0008643,GO:0009401,GO:0008982
KPN_RS01885	GO:0008643,GO:0009401,GO:0016310,GO:0016301,GO:1902495
KPN_RS01900	GO:0006633,GO:0008770
KPN_RS01910	GO:0006400,GO:0008616,GO:0051075,GO:0005737
KPN_RS01915	GO:0006400,GO:0008479,GO:0005737
KPN_RS01920	GO:0009306,GO:0015450,GO:0005886
KPN_RS01925	GO:0043952,GO:0015450,GO:0031522
KPN_RS01930	GO:0043952,GO:0015450,GO:0031522
KPN_RS01955	GO:0006355,GO:0140110
KPN_RS01960	GO:0008270,GO:0008703,GO:0008835,GO:0050661
KPN_RS01965	GO:0000906,GO:0009349
KPN_RS01970	GO:0006355
KPN_RS01975	GO:0009228,GO:0009030
KPN_RS01980	GO:0006629,GO:0008962
KPN_RS01985	GO:0016491
KPN_RS01990	GO:0008615,GO:0009228,GO:0009240,GO:0008661,GO:0005737
KPN_RS01995	GO:0008299
KPN_RS02005	GO:0006400,GO:0009228,GO:0140741
KPN_RS02020	GO:0015940,GO:0008677
KPN_RS02030	GO:0055085,GO:0022857
KPN_RS02035	GO:0016491,GO:0016651
KPN_RS02045	GO:0016853
KPN_RS02060	GO:0016491
KPN_RS02080	GO:0048034,GO:0008495,GO:0016020
KPN_RS02090	GO:0022904,GO:0004129
KPN_RS02095	GO:0004129
KPN_RS02100	GO:0022900,GO:0004129
KPN_RS02105	GO:0055085,GO:0022857,GO:0016020
KPN_RS02120	GO:0051083,GO:0003755,GO:0051082,GO:0005854
KPN_RS02125	GO:0006508,GO:0004176,GO:0004252,GO:0009368
KPN_RS02130	GO:0006508,GO:0004252,GO:0005524,GO:0051082,GO:0009368
KPN_RS02135	GO:0006508,GO:0004176,GO:0004252,GO:0016887,GO:0043565
KPN_RS02145	GO:0003755
KPN_RS02170	GO:0016818
KPN_RS02175	GO:0030170
KPN_RS02180	GO:0003677
KPN_RS02185	GO:0055085,GO:0005524,GO:0140359,GO:0016020
KPN_RS02190	GO:0055085,GO:0005524,GO:0140359,GO:0016020
KPN_RS02195	GO:0006808,GO:0030234
KPN_RS02200	GO:0072488,GO:0008519,GO:0005886
KPN_RS02215	GO:0006281,GO:0003677,GO:0003824
KPN_RS02235	GO:0030170
KPN_RS02255	GO:0007165
KPN_RS02260	GO:0005524,GO:0140359
KPN_RS02275	GO:0042626,GO:0140359
KPN_RS02280	GO:0008643,GO:0042626,GO:0140359
KPN_RS02295	GO:0009401,GO:0008982
KPN_RS02310	GO:0006412,GO:0003735,GO:0005840
KPN_RS02315	GO:0006412,GO:0003735,GO:0005840
KPN_RS02325	GO:0030170
KPN_RS02340	GO:0016407
KPN_RS02370	GO:0055085,GO:0016020
KPN_RS02395	GO:0006168,GO:0003999
KPN_RS02400	GO:0006260,GO:0003677,GO:0003887,GO:0005524,GO:0009360
KPN_RS02405	GO:0008150,GO:0003677,GO:0005737
KPN_RS02410	GO:0006281,GO:0006310
KPN_RS02415	GO:0006457,GO:0005524,GO:0016887,GO:0051082
KPN_RS02420	GO:0006139,GO:0004017,GO:0005524
KPN_RS02425	GO:0006779,GO:0004325
KPN_RS02435	GO:0006813,GO:0008324,GO:0051139,GO:0016020
KPN_RS02450	GO:0055085,GO:0022857
KPN_RS02455	GO:0009166,GO:0000166,GO:0016787,GO:0046872
KPN_RS02460	GO:0002161
KPN_RS02470	GO:0006812,GO:0019829
KPN_RS02480	GO:0016020
KPN_RS02485	GO:0016020
KPN_RS02500	GO:0061077
KPN_RS02505	GO:0016491
KPN_RS02510	GO:0006629,GO:0016298
KPN_RS02535	GO:0002098,GO:0043828
KPN_RS02540	GO:0006189,GO:0004638,GO:0005524,GO:0046872
KPN_RS02545	GO:0009152,GO:0004638,GO:0009320
KPN_RS02555	GO:0009245,GO:0008758
KPN_RS02565	GO:0006423,GO:0004817,GO:0005737
KPN_RS02575	GO:0004488
KPN_RS02590	GO:0019628
KPN_RS02605	GO:0046912
KPN_RS02620	GO:0007155,GO:0009289
KPN_RS02625	GO:0061077
KPN_RS02630	GO:0009297,GO:0015473
KPN_RS02635	GO:0007155,GO:0009289
KPN_RS02645	GO:0036104,GO:0016747
KPN_RS02655	GO:0000160,GO:0006355,GO:0003677
KPN_RS02660	GO:0043872
KPN_RS02670	GO:0006857,GO:0055085,GO:1904680,GO:0016020
KPN_RS02675	GO:0006430,GO:0004824,GO:0005737
KPN_RS02685	GO:0019310,GO:0050114
KPN_RS02690	GO:0016491,GO:0016651
KPN_RS02695	GO:0016491,GO:0016651
KPN_RS02700	GO:0000166,GO:0016491
KPN_RS02715	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS02720	GO:0008643,GO:0022857,GO:0005886
KPN_RS02735	GO:0006355,GO:0003677
KPN_RS02740	GO:0005975,GO:0004564
KPN_RS02745	GO:0009401,GO:0008982,GO:0016020
KPN_RS02755	GO:0016301
KPN_RS02775	GO:0055085,GO:0022857,GO:0016020
KPN_RS02780	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS02785	GO:0006826,GO:0042626,GO:0140359
KPN_RS02820	GO:0016787,GO:0016810
KPN_RS02825	GO:0006865,GO:0030288,GO:0055052
KPN_RS02840	GO:0016491
KPN_RS02845	GO:0008484
KPN_RS02850	GO:0018209,GO:0046500,GO:0016491,GO:0051539
KPN_RS02855	GO:0006355
KPN_RS02860	GO:0055085,GO:0022857
KPN_RS02875	GO:0022857,GO:0016020
KPN_RS02885	GO:0016491
KPN_RS02890	GO:0016491
KPN_RS02900	GO:0015891,GO:0015343,GO:0019867
KPN_RS02905	GO:0006865
KPN_RS02910	GO:0055085,GO:0022857
KPN_RS02915	GO:0003824
KPN_RS02920	GO:0016491,GO:0016651
KPN_RS02935	GO:0008381
KPN_RS02945	GO:0003677
KPN_RS02960	GO:0005975,GO:0016787,GO:0097367
KPN_RS02965	GO:1901135,GO:0097367
KPN_RS02970	GO:0008643,GO:0009401,GO:0016310,GO:0016301,GO:1902495
KPN_RS02980	GO:0009401,GO:0008982,GO:0005737
KPN_RS02985	GO:0008643,GO:0009401,GO:0016310,GO:0016301,GO:1902495
KPN_RS02990	GO:0016491
KPN_RS03000	GO:0006355,GO:0003677,GO:0003700
KPN_RS03030	GO:0006810,GO:0005215
KPN_RS03035	GO:0006810,GO:0015562,GO:0016020
KPN_RS03045	GO:0042398,GO:0004357
KPN_RS03055	GO:0055085
KPN_RS03060	GO:0042626,GO:0140359
KPN_RS03065	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS03070	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS03080	GO:0055085,GO:0005215
KPN_RS03085	GO:0030170
KPN_RS03090	GO:0030170
KPN_RS03100	GO:0006865,GO:0042626,GO:0140359
KPN_RS03105	GO:0015837,GO:0005886,GO:0055052
KPN_RS03110	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS03125	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS03130	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS03135	GO:0042626,GO:0140359
KPN_RS03140	GO:0055085
KPN_RS03145	GO:0042626,GO:0140359,GO:0055052
KPN_RS03155	GO:0019285,GO:0008812
KPN_RS03160	GO:0019285,GO:0008802,GO:0046872
KPN_RS03165	GO:0003677
KPN_RS03180	GO:0055085,GO:0016020
KPN_RS03190	GO:0006749,GO:0043295
KPN_RS03195	GO:0016310,GO:0005524,GO:0019200
KPN_RS03215	GO:0003677,GO:0030246
KPN_RS03225	GO:0008643,GO:0022857,GO:0005886
KPN_RS03230	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS03245	GO:0009239,GO:0000287,GO:0008897,GO:0009366
KPN_RS03255	GO:0005506,GO:0008849
KPN_RS03265	GO:0009058,GO:0003824,GO:0031177
KPN_RS03270	GO:0005524
KPN_RS03275	GO:0022857
KPN_RS03280	GO:0022857,GO:0016020
KPN_RS03285	GO:0042930,GO:0042931
KPN_RS03295	GO:0008909
KPN_RS03320	GO:0009267
KPN_RS03330	GO:0003677
KPN_RS03340	GO:0016491
KPN_RS03345	GO:0016491,GO:0046872
KPN_RS03350	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS03355	GO:0042626,GO:0140359
KPN_RS03370	GO:0019509,GO:0046522
KPN_RS03375	GO:0019509,GO:0046523
KPN_RS03400	GO:0016810
KPN_RS03410	GO:0055085,GO:0015209,GO:0016020
KPN_RS03415	GO:0019509,GO:0046872
KPN_RS03420	GO:0016310,GO:0005524,GO:0019200
KPN_RS03435	GO:0042626,GO:0140359
KPN_RS03440	GO:0042626,GO:0140359
KPN_RS03445	GO:0005524,GO:0016887,GO:0042626,GO:0140359
KPN_RS03455	GO:0016491
KPN_RS03465	GO:0019509,GO:0016791,GO:0016862
KPN_RS03470	GO:0008483,GO:0016740
KPN_RS03475	GO:0006807,GO:0007059,GO:0032259,GO:0043170,GO:0043412,GO:0044238,GO:0003677,GO:0008757
KPN_RS03485	GO:0006355,GO:0003700
KPN_RS03495	GO:0006979,GO:0102039
